色号,名称,HEX 值,RGB 值,填充色
E23,深灰粉,#937D8A,"147,125,138",
E24,淡紫粉,#DEBEE5,"222,190,229",
F1,浅红,#FE9381,"254,147,129",
F2,红色,#F63D4B,"246,61,75",
F3,橙红,#EE4E3E,"238,78,62",
F4,亮红,#FB2A40,"251,42,64",
F5,深红,#E10328,"225,3,40",
F6,暗红,#913635,"145,54,53",
F7,酒红,#911932,"145,25,50",
F8,大红,#BB0126,"187,1,38",
F9,浅红,#E0677A,"224,103,122",
F10,红棕,#874628,"135,70,40",
F11,深棕红,#592323,"89,35,35",
F12,粉红,#F3536B,"243,83,107",
F13,橙红,#F45C45,"244,92,69",
F14,浅粉红,#FCADB2,"252,173,178",
F15,正红,#D50527,"213,5,39",
F16,浅肤色,#F8C0A9,"248,192,169",
F17,浅棕红,#E89B7D,"232,155,125",
F18,棕红,#D07F4A,"208,127,74",
F19,暗红,#BE454A,"190,69,74",
F20,灰红,#C69495,"198,148,149",
F21,淡粉红,#F2B8C6,"242,184,198",
F22,浅粉红,#F7C3D0,"247,195,208",
F23,珊瑚红,#ED806C,"237,128,108",
F24,灰粉红,#E09DAF,"224,157,175",
F25,亮红,#E84854,"232,72,84",
G1,浅肤色,#FFE4D3,"255,228,211",
G2,浅棕,#FCC6AC,"252,198,172",
G3,淡棕,#F1C4A5,"241,196,165",
G4,土黄棕,#DCB387,"220,179,135",
G5,金棕,#E7B34E,"231,179,78",
G6,深金棕,#E3A014,"227,160,20",
G7,棕色,#985C3A,"152,92,58",
G8,深棕,#713D2F,"113,61,47",
G9,浅棕,#E4B685,"228,182,133",
G10,橙棕,#DA8C42,"218,140,66",
G11,浅黄棕,#DAC898,"218,200,152",
G12,浅棕,#FEC993,"254,201,147",
G13,中棕,#B2714B,"178,113,75",
G14,深棕,#8B684C,"139,104,76",
G15,极浅黄棕,#F6F8E3,"246,248,227",
G16,浅棕,#F2D8C1,"242,216,193",
G17,深棕,#77544E,"119,84,78",
G18,浅肤色,#FFE3D5,"255,227,213",
G19,橙棕,#DD7D41,"221,125,65",
G20,红棕,#A5452F,"165,69,47",
G21,灰棕,#B38561,"179,133,97",
H1,透明,#FFFFFF,"255,255,255",
H2,纯白,#FBFBFB,"251,251,251",
H3,中灰,#B4B4B4,"180,180,180",
H4,深灰,#878787,"135,135,135",
H5,近黑灰,#464648,"70,70,72",
H6,深灰黑,#2C2C2C,"44,44,44",
H7,纯黑,#010101,"1,1,1",
H8,浅粉灰,#E7D6DC,"231,214,220",
H9,极浅灰,#EFEDEE,"239,237,238",
H10,浅灰,#EBEBEB,"235,235,235",
H11,中灰,#CDCDCD,"205,205,205",
H12,浅米灰,#FDF6EE,"253,246,238",
H13,浅紫灰,#F4EDF1,"244,237,241",
H14,浅蓝灰,#CED7D4,"206,215,212",
H15,中蓝灰,#9AA6A6,"154,166,166",
H16,深黑,#1B1213,"27,18,19",
H17,极浅灰,#F0EEEF,"240,238,239",
H18,极浅黄绿灰,#FCFFF6,"252,255,246",
H19,浅米灰,#F2EEE5,"242,238,229",
H20,中绿灰,#96A09F,"150,160,159",
H21,极浅黄绿灰,#F8FBE6,"248,251,230",
H22,中灰,#CACAD2,"202,202,210",
H23,深绿灰,#9B9C94,"155,156,148",
M1,浅绿灰,#BBC6B6,"187,198,182",
M2,中绿灰,#909994,"144,153,148",
M3,深绿灰,#697E81,"105,126,129",
M4,浅米棕,#E0D4BC,"224,212,188",
M5,浅黄棕,#D1CCAF,"209,204,175",
M6,中黄棕,#B0AA86,"176,170,134",
M7,灰棕,#B0A796,"176,167,150",
M8,红棕灰,#AE8082,"174,128,130",
M9,棕灰,#A68862,"166,136,98",
M10,粉棕灰,#C4B3BB,"196,179,187",
M11,紫棕灰,#9D7693,"157,118,147",
M12,深紫棕灰,#644B51,"100,75,81",
M13,浅棕,#C79266,"199,146,102",
M14,红棕,#C27563,"194,117,99",
M15,深绿灰,#747D7A,"116,125,122",
